Frecuencia,Amplitud CH1,Amplitud CH2,Transferencia,Fase CH1,Fase CH2,Fase relativa,Fase relativa (grados),Offset CH1,Offset CH2
50095.0,1.0174475384480564,0.41777312413693657,0.4106090076881788,0.00720035736629054,0.12889385898829925,0.1216935016220087,6.972524037109537,0.02195301860928332,-0.00037992110994048274
50101.02941176471,1.0184168326761636,0.2501021314246798,0.24557933785075933,0.02066562844840926,-1.310050863525622,-1.3307164919740313,-76.24443871856649,0.021762530935998264,-0.0013367123073924885
50107.05882352941,1.019421836989325,0.12020777012470676,0.1179175938389924,0.015532471541025451,-1.6028259900127195,-1.618358461553745,-92.72510958631449,0.021924609017066374,-0.0008380037472046965
50113.08823529412,1.020175251007194,0.07583161120311453,0.07433194554391301,0.033237276314320295,-1.7109317519012346,-1.7441690282155549,-99.9335240741855,0.023028914164687282,-0.0007692347995454753
50119.117647058825,1.0186997758045842,0.054270529976368366,0.05327431228057815,0.022688874474195445,-1.761766170649806,-1.7844550451240015,-102.24174281643216,0.022331456006154674,-0.0002734658044788837
50125.14705882353,1.0205550805649433,0.041538138304147744,0.04070151537646914,0.026167400083403784,-1.7823537944940724,-1.8085211945774762,-103.62063160924733,0.02369619513438007,-0.000357642062467188
50131.17647058824,1.019249204414244,0.03307723710311867,0.032452551309204054,0.02279606590039962,-1.8059184335952683,-1.8287144994956679,-104.77762275548048,0.022656608857402796,-0.00028792113118323453
50137.205882352944,1.019262390815903,0.027248909741360565,0.026733949949382763,0.024972193945370057,-1.810431273463667,-1.835403467409037,-105.16087238621496,0.022676236280717743,-0.00030314199164641515
50143.23529411765,1.0188285314622239,0.022815606677703115,0.022393961273304872,0.00809684094933636,-1.829196811297739,-1.8372936522470753,-105.26917199993417,0.022415905331395314,-0.0002545350978353158
50149.26470588235,1.0192433355623969,0.01940590533379493,0.01903952143389504,0.01060906667018122,-1.8412079345480574,-1.8518170012182387,-106.1012986003775,0.021907916284452926,-0.00029905814094708955
50155.294117647056,1.0192803914149382,0.01665840842312017,0.016343303141538323,0.021875600627135765,-1.8392168277107341,-1.8610924283378698,-106.63274142751355,0.02319525798687381,-0.00016856097646256545
50161.32352941176,1.0189617937629463,0.014200558345142925,0.013936301078278287,0.026389380681471255,-1.8503575554732765,-1.8767469361547477,-107.52967865577521,0.02153592283334234,-0.00021386345424254338
50167.35294117647,1.0185828057007758,0.012255979459705019,0.012032384005611617,0.0325277770286219,-1.8724145967897787,-1.9049423738184006,-109.14515823542672,0.02225601433087119,-0.00011960275650254401
50173.382352941175,1.0193031489357103,0.010911518042465406,0.010704880146655585,0.0246847507152746,-1.8421513197588837,-1.8668360704741582,-106.96182788095638,0.022509380074130846,-0.00017177945907027227
50179.41176470588,1.0195820842781715,0.009647975997193095,0.009462677057554934,0.0227318996084429,-1.8332824746215208,-1.8560143742299637,-106.34179035899146,0.022924952270429334,-0.00019631716686361168
50185.44117647059,1.0192413669424703,0.008453280694900851,0.00829369859688788,0.0318384894425479,-1.857289938831367,-1.889128428273915,-108.23908589827798,0.022667317295729766,-0.00018085188560966182
50191.470588235294,1.0203047948873887,0.007403424225295155,0.007256090790117548,0.009450894834183345,-1.8544684643535363,-1.8639193591877197,-106.79471263418527,0.02106026295425846,-0.0001672924841110802
50197.5,1.0194117707876582,0.006472736860743922,0.006349482168273082,0.023725653267762804,-1.8734584284021114,-1.8971840816698742,-108.70064083908667,0.021326736407085913,-0.00018917782573388847
50203.52941176471,1.020022676133091,0.005656833607862919,0.005545792010534503,0.021899872166302244,-1.8493938057173422,-1.8712936778836444,-107.21722997224619,0.02237217416768961,-9.493259487906385e-05
50209.55882352941,1.0184795474496913,0.004915994924371201,0.004826797883846589,0.021926965589308914,-1.8647307516050848,-1.8866577171943937,-108.0975245810252,0.022014933292306194,-0.0001753408504700008
50215.58823529412,1.0196480695136563,0.004416064398082722,0.004330969213906384,0.02023735848836964,-1.839721506085937,-1.8599588645743068,-106.56779300805243,0.022328038403828472,-0.00019814402816070988
50221.617647058825,1.0194627151429194,0.003782842702733334,0.0037106238870177944,0.020627078264388754,-1.8699213707035378,-1.8905484489679265,-108.32044709086608,0.02208848393456168,-0.00014474323282458307
50227.64705882353,1.019828189527721,0.003199211991651744,0.0031370107479900987,0.01706295311533424,-1.8340196708135867,-1.851082623928921,-106.05922188112935,0.02202725463985019,-0.00016103008148897035
50233.67647058824,1.0192667304330245,0.002897925815584599,0.0028431476561129846,0.020272371027338934,-1.8280326775803244,-1.8483050486076633,-105.90007853794158,0.022151029552805495,-5.042467002280626e-05
50239.705882352944,1.0202213738810741,0.0023246537400585057,0.002278577767112618,0.030546642820810047,-1.8697755786070136,-1.9003222214278237,-108.8804430027394,0.02203249782213192,-7.964149584434383e-06
50245.73529411765,1.020144374592985,0.0020290533272144316,0.001988986439320394,0.013560399568601162,-1.8498302032207756,-1.8633906027893767,-106.7644171241697,0.022261905982621028,-8.235968079043702e-05
50251.76470588235,1.0204993506996045,0.0015843196823644126,0.0015524945520820571,0.01432423408503563,-1.8261941795018095,-1.840518413586845,-105.45393721463994,0.023005047431243365,-0.00010207841940760373
50257.794117647056,1.0197629299672188,0.0013138992435857042,0.0012884359736708027,0.014363282781342008,-1.7262133727677165,-1.7405766555490585,-99.7276962819571,0.022281532085278367,-7.770201252529369e-05
50263.82352941176,1.0206219447428553,0.0010146767843271305,0.00099417496317187,0.02367436805542073,-1.8326986049164213,-1.8563729729718421,-106.3623365534398,0.021665864074614287,-3.859573845717459e-05
50269.85294117647,1.0195654396432974,0.0006522573208036035,0.0006397405163437088,0.020861432385270894,1.2323612296168558,1.2114997972315849,69.41382526232482,0.022769671510045508,-0.00011333761000339123
50275.882352941175,1.020693734908429,0.00036124085675497326,0.0003539169923359839,0.02840473204137772,1.244361539169793,1.2159568071284155,69.66919311866125,0.022944123794233006,-2.995033413707103e-05
50281.91176470588,1.0202730263835136,0.00019008793472411096,0.00018631084994758865,0.012902617822057275,-0.51869759093497,-0.5316002087570273,-30.45844835005117,0.022710392397090166,-1.1483145474669091e-05
50287.94117647059,1.0192458957901138,0.0002716410866887991,0.00026651182782367195,0.0258260026211446,0.8248065090374024,0.7989805064162577,45.77821093087676,0.022497183126491103,-0.00011509075153708054
50293.970588235294,1.0188204660903333,0.00039477273517639935,0.0003874801776325889,0.01713634084174462,0.8996370364425347,0.88250069560079,50.563565275284645,0.023162903624708343,-2.6367589464609025e-05
50300.0,1.0188439309107171,0.0004946487261292307,0.00048549999771513346,0.02501119709202206,1.2229616828628695,1.1979504857708474,68.63750690031634,0.022022291838348168,-2.9529240919366415e-05
