Frecuencia,Transferencia
53500.0,0.06849314992493903
53506.12244897959,0.06849314992493903
53512.244897959186,0.05405405214024839
53518.36734693877,0.06849314992493903
53524.489795918365,0.06849314992493903
53530.61224489796,0.05479451788515676
53536.73469387755,0.07042253839515979
53542.857142857145,0.06849314992493903
53548.97959183674,0.06849314992493903
53555.102040816324,0.06849314992493903
53561.22448979592,0.06849314992493903
53567.34693877551,0.06849314992493903
53573.4693877551,0.06849314992493903
53579.5918367347,0.05479451788515676
53585.71428571428,0.06849314992493903
53591.836734693876,0.06849314992493903
53597.95918367347,0.06849314992493903
53604.08163265306,0.05479451788515676
53610.204081632655,0.05479451788515676
53616.32653061225,0.05405405214024839
53622.448979591834,0.06849314992493903
53628.57142857143,0.05479451788515676
53634.69387755102,0.05479451788515676
53640.816326530614,0.05479451788515676
53646.93877551021,0.06849314992493903
53653.06122448979,0.06849314992493903
53659.183673469386,0.06849314992493903
53665.30612244898,0.06849314992493903
53671.42857142857,0.06756756770909424
53677.551020408166,0.05479451788515676
53683.67346938775,0.06849314992493903
53689.795918367345,0.07042253839515979
53695.91836734694,0.06849314992493903
53702.04081632653,0.06944444272762353
53708.163265306124,0.06849314992493903
53714.28571428572,0.05555555209876557
53720.4081632653,0.06849314992493903
53726.5306122449,0.06849314992493903
53732.65306122449,0.06849314992493903
53738.77551020408,0.06944444847608043
53744.897959183676,0.05479451788515676
53751.02040816326,0.05633802860345172
53757.142857142855,0.07042253839515979
53763.26530612245,0.05633802860345172
53769.38775510204,0.05633802860345172
53775.510204081635,0.07042253839515979
53781.63265306123,0.06944444847608043
53787.755102040814,0.06944444272762353
53793.87755102041,0.07042253839515979
53800.0,0.06944444272762353
