Frecuencia,Amplitud CH1,Amplitud CH2,Transferencia,Fase CH1,Fase CH2,Fase relativa,Fase relativa (grados),Offset CH1,Offset CH2
50095.0,1.0172234639414226,0.4186353907112956,0.4115471236666272,0.015414898885198505,0.13192399846154992,0.11650909957635142,6.675479680594384,0.021888514617807123,-0.00037408486553703723
50101.02941176471,1.0184374236570963,0.24942763668525808,0.24491208874629822,0.021083232435456796,-1.3061629800857393,-1.3272462125211961,-76.04560635218806,0.022455772062608268,-0.0012092553324201925
50107.05882352941,1.019308745680327,0.11999995486163066,0.11772679805816633,0.020007676954610556,-1.6103496992466797,-1.6303573762012902,-93.41259675435653,0.02250863612222618,-0.0008162865968576805
50113.08823529412,1.0191885114985182,0.07562874539103966,0.07420486449542324,0.02181033298860589,-1.7091829954086288,-1.7309933283972347,-99.17861208246447,0.021970906879407774,-0.0008001721177384472
50119.117647058825,1.0198406289639221,0.05423452446928985,0.053179411497253117,0.019790497865878345,-1.7578704562104963,-1.7776609540763746,-101.85247007377552,0.0229449484605182,-0.0002997910195678189
50125.14705882353,1.0196932168346322,0.041445651773571776,0.040645216707657264,0.029061528524472986,-1.7918224616303757,-1.8208839901548488,-104.32896761881378,0.022388108263884876,-0.00032711001542067546
50131.17647058824,1.0193371367238362,0.03311742521126062,0.03248917754306538,0.028621464675021212,-1.8155319236947915,-1.8441533883698127,-105.66220592834046,0.022843913469575802,-0.00029950193643643076
50137.205882352944,1.0190786225662105,0.027170400034568325,0.026661730933133218,0.035553295275248156,-1.8183272849624392,-1.8538805802376874,-106.21953296888366,0.021511425813681834,-0.00034211241800621
50143.23529411765,1.0189330133540055,0.022755800470264,0.022332970050071392,0.019634485030530054,-1.831067385510308,-1.850701870540838,-106.03740631895688,0.022993674326484245,-0.0002647332651059024
50149.26470588235,1.0195830727411321,0.019300620283932108,0.018929914393383082,0.026562646189871825,-1.8375094189109933,-1.864072065100865,-106.8034620385152,0.021969281983716393,-0.0003180268745437764
50155.294117647056,1.0198438887572072,0.016384383457115754,0.016065579877212327,0.02472908196007935,-1.8228911759491786,-1.847620257909258,-105.86084292107314,0.021869168640089268,-0.00020756424611639035
50161.32352941176,1.0199416879320524,0.014238352874321812,0.01395996755774371,0.009616412822468567,-1.841691839418788,-1.8513082522412565,-106.07214943116483,0.022751541218202193,-0.00023340969772046334
50167.35294117647,1.0193073641115658,0.012368570058227318,0.012134288923741698,0.016296073119614386,-1.8431266531635946,-1.859422726283209,-106.53707454673717,0.02186679255324927,-0.0001308831279046942
50173.382352941175,1.0186766673541339,0.010787668769295542,0.010589885009651748,0.016290356195114618,-1.84893039403445,-1.8652207502295646,-106.86927684837913,0.022018783346601276,-0.0002492989435738135
50179.41176470588,1.0185356022526475,0.009545648088060034,0.009371933653520181,0.0241264750506704,-1.8508372945518903,-1.8749637696025607,-107.427510738166,0.02086620812271529,-0.00012691205784800944
50185.44117647059,1.0192706517104346,0.008315369274277881,0.008158156285893142,0.023427071247238137,-1.857181448921381,-1.8806085201686191,-107.75093112200523,0.022087618445619288,-0.00012197936621173314
50191.470588235294,1.0196278071156033,0.007334579203521384,0.007193388756501228,0.030874691310925222,-1.8490419824969846,-1.8799166738079098,-107.7112912454651,0.021683473806481113,-0.00018885379026905622
50197.5,1.0197065873673925,0.006492674358167439,0.006367198602619381,0.027931989784487164,-1.8489511747308163,-1.8768831645153035,-107.53748396588504,0.022249655055539434,-0.0002507599162701573
50203.52941176471,1.0199427646261057,0.005715680655772687,0.005603922939605304,0.010241526797419897,-1.8610419330463488,-1.8712834598437686,-107.2166445216864,0.021736989710027403,-0.00013921544685188155
50209.55882352941,1.018632922192183,0.005075088784308212,0.004982254817943836,0.026449155169806348,-1.8662970370044059,-1.8927461921742121,-108.4463685010398,0.02222246491881549,-0.00013648854927811438
50215.58823529412,1.0184256497011623,0.00444482263505233,0.004364405625836878,0.01254982211450281,-1.8828178887776625,-1.8953677108921654,-108.59657045949307,0.022019782585526906,-0.00011155795967441353
50221.617647058825,1.0191957270571124,0.0038203657732117937,0.0037484122742968613,0.0217761349182046,-1.8759447565005793,-1.897720891418784,-108.73139777210069,0.02209826749354817,-0.00011002352925422419
50227.64705882353,1.018735662262175,0.0032542193497458573,0.0031943706991857256,0.025969911398959874,-1.8755498873462653,-1.901519798745225,-108.94905912866709,0.022460466829755197,-0.0001748163917754674
50233.67647058824,1.0204829256279424,0.0027587528801424526,0.0027033797537032635,0.017591718250563614,-1.8985236854722762,-1.9161154037228398,-109.78532569332455,0.022093500832896625,-6.61193244737684e-05
50239.705882352944,1.0203532700429163,0.0023347419513333354,0.002288170205241892,0.029671796064889577,-1.878695570190891,-1.9083673662557805,-109.34139584695282,0.021651145139706767,-4.591238862469557e-05
50245.73529411765,1.0199085396849277,0.0020609251126956973,0.0020206960060677234,0.03421190172213918,-1.860374598620863,-1.8945865003430022,-108.55181039211492,0.022118315814929266,1.7986176092525192e-05
50251.76470588235,1.020046775589309,0.0016472702962531934,0.0016148968220614393,0.02474047884889571,-1.867172937259459,-1.8919134161083546,-108.39865394718666,0.02161478947853793,-1.5091217215392845e-05
50257.794117647056,1.0196231268718865,0.0012390174256718942,0.0012151719522811237,0.020843857385500406,1.2169332373648636,1.1960893799793633,68.53087339323694,0.022949810629024136,-6.631655137496465e-05
50263.82352941176,1.0193390881618831,0.0009760289525457432,0.0009575115522213137,0.018718509127530297,-1.7930987757770471,-1.8118172849045775,-103.80948367388413,0.022566658755898004,-9.983559826916557e-05
50269.85294117647,1.0188137483133288,0.0005816049398237857,0.0005708648325433839,0.02394137412663366,1.294987114732316,1.2710457406056823,72.8255565047856,0.02232589231609977,-4.2330105358262245e-05
50275.882352941175,1.0198870866056104,0.00025795621121998654,0.00025292624507926336,0.018606377495315143,-1.5743968035961091,-1.5930031810914242,-91.27235902745299,0.021787322122341368,-0.00010846442895359736
50281.91176470588,1.0202991023922519,7.289187832753778e-05,7.144167642275809e-05,0.015261633165877782,-0.9400755632417619,-0.9553371964076397,-54.73678936601834,0.02297208316920006,-4.616051592925527e-05
50287.94117647059,1.0190883262333523,0.00023554372962009614,0.00023113181022364198,0.027714898621510213,0.30091159067801426,0.273196692056504,15.653017431772902,0.021899831596619724,-3.8776555496304835e-05
50293.970588235294,1.0200476343789913,0.00045644384072669096,0.0004474730643383881,0.023912914798626218,0.8580518762274502,0.8341389614288239,47.792642017297375,0.023493868331058272,-1.7591173006373636e-05
50300.0,1.0198300260119166,0.0006862018959150007,0.0006728590828007083,0.030926610097955623,1.2380759920397777,1.207149381941822,69.16456482709224,0.023494297514312586,-7.218561986809727e-05
