Frecuencia,R,theta,X,Y
50174.4966442953,0.00715449,-111.252,-0.00265886,-0.00656131
50177.852348993285,0.00667956,-112.242,-0.00253107,-0.00612834
50181.208053691276,0.00609973,-111.744,-0.00228693,-0.00578502
50184.56375838926,0.00575069,-112.632,-0.00209619,-0.00535777
50187.91946308725,0.00538829,-111.648,-0.00204851,-0.00489429
50191.275167785236,0.0049639,-111.342,-0.00183392,-0.00454715
50194.63087248322,0.00465873,-111.48,-0.00168801,-0.00432113
50197.98657718121,0.00433543,-111.438,-0.00157452,-0.00402835
50201.342281879195,0.00399974,-111.264,-0.00154877,-0.00376321
50204.69798657718,0.00375845,-111.438,-0.00145245,-0.00339319
50208.05369127517,0.00348569,-113.172,-0.00125218,-0.00323679
50211.409395973154,0.00313474,-112.188,-0.00125027,-0.00291158
50214.76510067114,0.00303175,-111.876,-0.00113679,-0.00281335
50218.12080536913,0.00270273,-113.274,-0.00103761,-0.00247671
50221.476510067114,0.00255395,-110.712,-0.00102044,-0.00236894
50224.8322147651,0.00226595,-112.116,-0.000842098,-0.00221826
50228.18791946309,0.00220014,-113.118,-0.000747684,-0.00202276
50231.54362416107,0.00203229,-111.528,-0.000672344,-0.0018158
50234.89932885906,0.00173379,-112.566,-0.000676159,-0.00160266
50238.25503355705,0.00162078,-114.132,-0.000618938,-0.00145198
50241.61073825503,0.00145579,-114.192,-0.000495438,-0.00133515
50244.96644295302,0.00133277,-114.474,-0.00042391,-0.00124503
50248.32214765101,0.0011344,-113.094,-0.000476839,-0.00116158
50251.67785234899,0.00109959,-108.444,-0.000314714,-0.000970844
50255.03355704698,0.0008719,-108.498,-0.000288727,-0.000813965
50258.38926174497,0.000866894,-112.026,-0.000302793,-0.000817064
50261.74496644295,0.000618938,-110.4,-0.000171185,-0.000664953
50265.10067114094,0.000634436,-107.19,-0.000132562,-0.000509027
50268.45637583893,0.000483753,-100.698,-0.000211717,-0.000434639
50271.81208053691,0.000326397,-116.766,-0.00015998,-0.000380279
50275.1677852349,0.000259282,-119.082,-0.000127316,-0.000271799
50278.523489932886,0.000107527,-115.626,-7.40294e-05,-0.000115633
50281.87919463087,9.45334e-05,-35.268,7.95727e-05,-7.74865e-05
50285.23489932886,5.29292e-05,91.26,7.33142e-05,6.98571e-05
50288.590604026846,9.47719e-05,13.524,3.87433e-05,4.17235e-05
50291.94630872483,0.000206293,74.298,9.4295e-05,0.000102044
50295.30201342282,0.000348391,58.026,0.000159324,0.00030476
50298.657718120805,0.00029421,60.966,0.00020069,0.000247898
50302.01342281879,0.000499073,62.784,0.0002746,0.000369193
50305.36912751678,0.000472965,55.392,0.000197233,0.000399532
50308.724832214764,0.000552062,68.592,0.000333192,0.00050259
50312.08053691275,0.00071073,61.212,0.000226141,0.000587407
50315.43624161074,0.000698868,68.682,0.000370624,0.000682715
50318.791946308724,0.00083119,66.918,0.000281097,0.000684801
50322.147651006715,0.000871126,67.818,0.000306906,0.000772242
50325.5033557047,0.000913326,68.322,0.000430586,0.000868563
50328.85906040268,0.000908975,61.968,0.000352265,0.000877861
50332.214765100674,0.001068,66.9,0.000478389,0.000974301
50335.57046979866,0.00107897,60.978,0.00042689,0.00102819
50338.92617449664,0.00118852,62.82,0.000435354,0.00106753
50342.281879194634,0.00116897,67.914,0.000568632,0.00105692
50345.63758389262,0.00129748,63.738,0.000574116,0.00116444
50348.9932885906,0.0012399,67.098,0.000516061,0.00122321
50352.34899328859,0.00130213,62.484,0.00062323,0.00117899
50355.70469798658,0.00139309,67.776,0.000590209,0.00132192
50359.06040268456,0.00137151,66.27,0.000663523,0.00127257
50362.41610738255,0.00142182,66.576,0.000649814,0.00128103
50365.77181208054,0.00145734,65.496,0.000605945,0.0013243
50369.12751677852,0.00162626,65.964,0.000711445,0.00145901
50372.48322147651,0.00158799,67.512,0.000693087,0.00152446
50375.838926174496,0.00170041,66.732,0.000693087,0.00156606
50379.19463087248,0.00170625,67.566,0.000745181,0.00158895
50382.55033557047,0.00179363,64.752,0.000686053,0.00162876
50385.906040268455,0.00181318,66.966,0.00068653,0.00165165
50389.26174496644,0.00181676,63.336,0.000730161,0.00170327
50392.61744966443,0.00190593,66.126,0.000832681,0.00168241
50395.973154362415,0.0018251,66.582,0.000772718,0.00177706
50399.328859060406,0.00197615,64.686,0.000862245,0.00174046
50402.68456375839,0.00189901,66.72,0.000851635,0.0017202
50406.040268456374,0.00202848,66.9,0.000881437,0.00177074
50409.395973154365,0.00205423,63.948,0.000770573,0.00184322
50412.75167785235,0.00201227,66.996,0.00088096,0.00180484
50416.10738255033,0.00214531,65.022,0.000848774,0.00195958
50419.463087248325,0.00214531,63.888,0.000836376,0.00197531
50422.81879194631,0.00213696,67.278,0.000936273,0.00199582
50426.17449664429,0.00210454,65.376,0.000845436,0.00201537
50429.530201342284,0.00226475,64.854,0.000933889,0.00206734
50432.88590604027,0.00222494,63.804,0.000940088,0.00196745
50436.24161073825,0.00219966,66.288,0.000972752,0.00199868
50439.597315436244,0.00225069,64.158,0.000889305,0.00211383
50442.95302013423,0.00226952,66.75,0.00097657,0.00204135
50446.30872483221,0.00236346,63.99,0.000960354,0.00219418
50449.6644295302,0.00242521,64.836,0.000958923,0.00209166
50453.02013422819,0.00236918,66.996,0.000931982,0.00220586
50456.37583892617,0.00237037,64.356,0.00104118,0.00225259
50459.73154362416,0.00248815,66.558,0.000979908,0.0022793
50463.08724832215,0.002517,64.446,0.000984915,0.00229837
50466.44295302014,0.00244428,66.648,0.00109816,0.00227095
50469.79865771812,0.00251128,64.02,0.00110079,0.00231434
50473.154362416106,0.00253321,64.002,0.00110436,0.00226666
50476.5100671141,0.00249912,64.746,0.00101734,0.00227477
50479.86577181208,0.00251462,65.334,0.00101162,0.00237681
50483.221476510065,0.00264765,64.446,0.00106836,0.00230195
50486.57718120806,0.00258113,66.636,0.00113488,0.00233914
50489.93288590604,0.00259973,64.326,0.0011623,0.00240852
50493.288590604025,0.00265814,64.032,0.00105286,0.00238205
50496.644295302016,0.00274064,66.216,0.00117803,0.00243093
50500.0,0.00276949,65.556,0.00118089,0.0024295
